한국전자금융,5240,하락20,-0.38%,57164
본느,4260,상승10,+0.24%,1224285
퓨런티어,21800,상승400,+1.87%,90054
케이엔제이,22250,상승1150,+5.45%,132766
엘앤케이바이오,8860,하락140,-1.56%,37740
아스트,549,하락3,-0.54%,261113
이노시스,1877,상승17,+0.91%,9650313
동신건설,20950,상승150,+0.72%,17989
제이투케이바이오,31550,상승600,+1.94%,99360
퓨릿,10440,하락200,-1.88%,84591
토마토시스템,11210,하락370,-3.20%,1190689
스마트레이더시스템,11240,상승500,+4.66%,341535
헥토이노베이션,13200,상승100,+0.76%,6775
모다이노칩,2195,하락20,-0.90%,5781
지니뮤직,3005,하락45,-1.48%,49170
하이로닉,9350,하락150,-1.58%,149370
폰드그룹,5370,하락120,-2.19%,65694
